ID,Type,Tag,Diffcult,Question,Option1,Option2,Option3,Option4,Answer,AnswerNO
21,1,,1,以易于油剂料调和颜料，在亚麻布上，纸板或木板上进行制作的一个画种叫做？,油画,亚麻花,木版画,,油画，是以用快干性的植物油调和颜料，在画布亚麻布，纸板或木板上进行制作的一个画种。作画时使用的稀释剂为挥发性的松节油和干性的亚麻仁油等。画面所附着的颜料有较强的硬度，当画面干燥后，能长期保持光泽。凭借颜料的遮盖力和透明性能较充分地表现描绘对象，色彩丰富，立体质感强。,3
22,1,,1,铅笔上面都有硬度的标号，找出以下笔芯最硬的铅笔？,3H,HB,1B,,"铅笔芯主要是由石墨和粘土按一定比例混合制成的。如""h""即英文""hard""（硬）的词头，用以表示铅笔芯的硬度。""h""前面的数字越大（如6h），铅笔芯就越硬，写出的字越不明显。""b""是英文""black""（黑）的词头，代表石墨，用以表示铅笔芯质软的情况和写字的明显程度。",3
23,1,,1,《蒙娜丽莎》是一幅享有盛誉的肖像画杰作，它的作者是？,列奥纳多.达芬奇,梵高,维克多.雨果,,《蒙娜丽莎》是文艺复兴时代画家列奥纳多·达·芬奇所绘的丽莎·乔宫多的肖像画。它的拥有者法国政府把它保存在巴黎的卢浮宫供公众欣赏。,3
24,1,,1,以下哪一句话的意思不是再见？,Good Job,See you later,Good-bye,,goodjob\n1.[口语]幸运的事，顺利的事\n2.事情办得好！（表示同意或赞许的答语）,3
25,1,,1,以下哪个不是元音？,Y,A,O,,在拉丁字母中，A、E、I、O、U通常都是元音字母。,3
26,1,,1,想开车必须考取驾照，在中国考取驾照的最低年龄是？,18,16,20,,根据机动车驾驶证申领和使用的新规定，考取无论哪种车型的驾驶证，申领者年龄都不得低于18周岁。,3
27,1,,1,以下哪位诗人是女性？,李清照,王伟,唐伯虎,,李清照（1084－1155），山东省济南章丘人，号易安居士。宋代女词人，婉约词派代表，有“千古第一才女”之称。,3
28,1,,1,武松是以下哪一部文学著作中的人物？,《水浒传》,《西游记》,《三国演义》,,武松是中国古典小说《水浒传》中的主要人物之一（也在《金瓶梅》中出现），是梁山一百单八将之一，在梁山排行第十四位，人称行者武松。神武非凡，曾经在景阳冈上空手打死一只吊睛白额大虫，“武松打虎”的事迹也在后世广为流传。,3
29,3,,1,请问以下关于等腰梯形的描述中，不正确的是？,两条腰不相等,两个底角相等,两条对角线相等,,一般等腰梯形的定义为：一组对边平行（不相等），另一组对边不平行但相等的四边形。同一底上的两个内角相等；两腰相等，两底平行，对角线相等是等腰梯形的性质,3
30,1,,1,几何学的R或r表示一个圆的什么？,半径,圆心角,周长,,几何中，r通常表示元的半径,3
31,1,,1,由于地球自转运动，自然光在一天内气温不断的变化。一天内什么时候气温最高？,中午,早晨,一样高 ,,天气的冷热，主要决定于空气温度的高低，而影响空气温度的主要因素，是由太阳辐射强度所决定的。而太阳辐射强度与太阳高度有关，中午十二点，太阳最高，辐射最强，所以中午左右的气温最高。,3
32,1,,1,植物色素与光合作用以及花朵的颜色有关。以下不是植物色素的是？,抗生素,类胡萝卜素,花青素,,类胡萝卜素普遍存在于动物、高等植物、真菌、藻类的黄色、橙红色或红色的色素之中，是体内维生素A的主要来源，具有抗氧化、免疫调节、抗癌、延缓衰老等功效。花青素，又称花色素，是自然界一类广泛存在于植物中的天然色素，在植物细胞液泡不同的PH值条件下，花青素使花瓣呈现五彩缤纷的颜色。,3
33,1,,1,民族乐器是中国独有，代表着中华音乐文化的传统乐器，以下不是民族乐器的是？,钢琴,二胡,扬琴,,钢琴是一种键盘乐器，用键拉动琴槌以敲打琴弦。从十八世纪末以来，在欧洲及美国，钢琴一直是最主要的家庭键盘乐器。钢琴发源于欧洲，十七世纪末，意大利人克里斯多佛利(BartolommeoCristofori)发明的一种类似现代钢琴的键盘式乐器。至今已有三百多年的历史。,3
34,1,,1,音与音之间最小的距离单位是？,半音,音阶,全音,,平均律中，完全八度的频率比为2:1，按照比例平均分成12份，为：2^02^(1/12)2^(2/12)...2相邻两音之间的关系称为半音。,3
35,1,,1,请问以下乐器中，不属于键盘乐器的是？,扬琴,钢琴,手风琴,,扬琴，我国民乐中常用的一种击弦乐器，其框架用色木、桦木或榆木制，上蒙白松或桐木面板，下蒙胶合板，音箱呈蝴蝶形或扁梯形。左侧琴头设拴弦钩钉，右侧琴头置弦轴。面板上开两个圆形音孔，并镶骨雕音窗为饰。,3
36,1,,1,音符是由符头、符干、符尾三个部分组成。请问音符的形状好像什么动物？,小蝌蚪,小鸭子,小鱼,,音符起源于西方，由于各音有高低不同，唱诗班的人就在音节的上方标一些高低不同的小疙瘩。后来需要标高低程度逐渐复杂，为了区分高低，就把高度一样的音节上的小方点标在相同的高度上。这样的逻辑促进了“线”的产生。由于早期没有节拍，唱时节奏是自由的，所以早期的记谱没有节奏信息，音符就只有“符头”那个小疙瘩，没有符干和表示节奏的符尾。后来随着音乐的发展和丰富，规定的节奏产生后，才加上了符尾，以表示节奏。 ,3
37,1,,1,钢琴音色明亮、音域广，表现力丰富，被称作“乐器之王”，钢琴键盘的颜色是？,黑色和白色,白色和绿色,蓝色和黄色,,钢琴於1709年义大利人克裏斯多佛发明，当初分黑白键是为了要分辨清楚半音还有全音。十七世纪(巴洛克时代)的键盘，和现在的键盘颜色是相反的。当时的长键是黑色，短键是白色。十八世纪钢琴时代来临后(大约莫扎特的时代)，键盘仍旧是长键黑色，短键白色。十九世纪，长短键的颜色已经对调，而成为我们今天所看到的形式。,3
38,1,,1,下列不属于按内容、题材分类的绘画种类是？,水彩画,肖像画,风景画,,水彩画是是画风的一种，用水调和透明颜料作画，简称水彩，由于色彩透明，一层颜色覆盖另一层可以产生特殊的效果，但调和颜色过多或覆盖过多会使色彩肮脏，水干燥的快，所以水彩画不适宜制作大幅作品，适合制作风景等清新明快的小幅画作。,3
39,1,,1,莫高窟俗称千佛洞，被誉为20世纪最有价值的文化发现。莫高窟最著名的是？,壁画和塑像,经文,水墨画,,莫高窟坐落在河西走廊西端的敦煌，以精美的壁画和塑像闻名于世。它始建于十六国的前秦时期，历经十六国、北朝、隋、唐、五代、西夏、元等历代的兴建，形成巨大的规模，现有洞窟735个，壁画4.5万平方米、泥质彩塑2415尊，是世界上现存规模最大、内容最丰富的佛教艺术圣地。,3
40,1,,1,请问第一届现代奥运会在哪里举行？,希腊雅典,法国巴塞罗那,美国芝加哥,,在“现代奥林匹克运动之父”顾拜旦的倡导下，第一届现代奥林匹克运动会于１８９６年４月６日至１５日在希腊雅典举行。,3
41,1,,1,2008年第29届北京奥运会使用的奖牌让中外运动员及观众眼前一亮，他是？,金镶玉,象牙,盘龙,,“金镶玉”是北京奥运会的奖牌设计所采用的式样，喻示中国传统文化中的“金玉良缘”，体现了中国人对奥林匹克精神的礼赞和对运动员的褒奖，它融入了典型的中国文化元素。以“金镶玉”为创意的北京奥运会奖牌挂钩由中国传统玉双龙蒲纹璜演变而成。,3
42,1,,1,奥林匹克运动会的口号是？,更快、更高、更强,更牛、更绝、更棒,更快、更高、更远,,狄东神甫曾经提出了“更快、更高、更强”的口号。“奥林匹克之父”顾拜旦非常欣赏和赞同这个口号，便把它作为国际奥林匹克运动会的口号。,3
43,1,,1,奥林匹克会旗中央的五环象征五大洲的团结。请问五环中没有下列哪个颜色？,紫,黄,红,,奥林匹克五环标志由5个奥林匹克环从左至右套接而成，可以是单色，也可以是蓝、黄、黑、绿、红5种颜色。最初的解释是五种颜色代表各国国旗的颜色，后来又将5个不同颜色的圆环解释为五大洲的象征。其中蓝色代表欧洲、黄色代表亚洲、黑色代表非洲、绿色代表大洋洲、红色代表美洲。,3
44,1,,1,北京奥运会的吉祥物是什么？,福娃,海宝,小熊猫,,福娃是2008年在北京举行的第29届奥运会的吉祥物。于2005年11月11日、距离本届奥运会开幕恰好1000天时正式发布问世。,3
45,1,,1,吸烟不仅危害自己的身体，也会对他人造成伤害。请问吸烟会引起下列哪种症状？,支气管炎、肺癌,矽肺,乙肝,,吸烟除了会导致支气管炎、肺癌。还有其他危害：对人体免疫的影响，长期吸烟会让人体的免疫力下降引起许多的并发展症状。还会影响睡眠，吸烟会使人严重的睡眠不足，根据德国的调查显示，吸烟者的睡眠质量严重下降，因为香烟中的焦油含有刺激性物质，会让人的大脑产生兴奋感。,3
46,1,,1,咬笔头咬手指是不好的习惯，主要是因为？,笔头、手指不干净,姿势难看,老师、家长会批评,,经常咬笔头会造成牙齿异位生长，出现牙齿不齐，暴牙；如果是铅笔尖，铅笔表面的漆是有毒的，长期入口，可引起慢性中毒；有意外情况时，易被笔尖扎伤；咬手指会有细菌侵入口中，引起胃肠疾病或寄生虫疾病。,3
47,1,,1,小学生每天学习时间（包括自习时间），不应超过多少个小时？,6时间,9时间,8时间,,小学生处在生长发育期，长时间的学习会对孩子的颈椎、大脑发育造成影响，写字姿势不当会导致近视眼等问题。,3
48,1,,1,WinRAR压缩软件生成的默认压缩文件的扩展名是什么？,rar,jpg,doc,,WinRAR 是一款功能强大的压缩包管理器，它是档案工具RAR在 Windows环境下的图形界面。该软件可用于备份数据，缩减电子邮件附件的大小，解压缩从 Internet 上下载的RAR、ZIP及其它类型文件，并且可以新建 RAR 及 ZIP 格式等的压缩类文件。,3
49,1,,1,在计算机体系结构中，CD-ROM属于什么设备？,存储设备,备用设备,计算设备,,CD-ROM（CompactDiscRead-OnlyMemory）即只读光盘，是一种在电脑上使用的光碟。这种光碟只能写入数据一次，信息将永久保存在光碟上，使用时通过光碟驱动器读出信息。,3
50,1,,1,请问我国古代传说中，二郎显圣真君（二郎神）有几只眼睛？,3,6,4,,中国流传的神话故事中，二郎神都是有3只眼睛,3
51,1,,1,“轻轻的我走了，正如我轻轻的来；我轻轻的招手，作别西天的云彩”出自哪里？,《再别康桥》,《孔乙己》,《静夜思》,,《再别康桥》原是现代诗人徐志摩脍炙人口的诗篇，是新月派诗歌的代表作品。全诗描述了一幅幅流动的画面，构成了一处处美妙的意境，细致入微地将诗人对康桥的爱恋，对往昔生活的憧憬，对眼前的无可奈何的离愁表现得真挚、隽永。后被后人改编成同名歌曲、对联翻唱。,3
52,1,,1,《宫锁心玉》的主演是谁？,杨幂,孙俪,赵薇,,《宫》的主演是杨幂,3
53,1,,1,七夕节是我国传统节日，请问它是指农历几月几号？,七月初七,七月十四,二月十四,,每年农历七月初七这一天是我国汉族的传统节日七夕节。因为此日活动的主要参与者是少女，而节日活动的内容又是以乞巧为主，故而人们称这天为“乞巧节”或“少女节”、“女儿节”。,3
54,1,,1,下列哪位是《水浒传》中的“108”位好汉之一?,武松,西门庆,霍元甲,,选西门庆的请去面壁~,3
55,1,,1,四大名著是我国乃至全人类共同拥有的宝贵文化遗产，以下不是四大名著的是？,《拍案惊奇》,《西游记》,《红楼梦》,,中国的四大名著是《三国演义》、《水浒传》、《西游记》、《红楼梦》。这四部著作历久不衰，是汉语文学中不可多得的作品。其中的故事、场景，已经深深地影响了中国人的思想观念、价值取向。四部著作都有很高的艺术水平，细致的刻画和所蕴含的思想都为历代读者所称道。,3
56,1,,1,下列家庭小实验，不能成功的是？,用眼分别白酒和白醋,观察蜡烛燃烧,收集一瓶呼出的气体,,用肉眼分别白酒和白醋，一般的肉眼是看不出来的，当然超人除外~,3
57,3,,1,唐太宗将文成公主嫁给了？,松赞干布,唐吉坷德,唐玄奘,,松赞干布统一藏区，成为藏族的赞普（“君长”之意），建立了吐蕃王朝。唐贞观十四年，他遣大相禄东赞至长安，献金五千两，珍玩数百，向唐朝请婚。太宗许嫁宗女文成公主。文成公主，唐朝皇室远枝，任城王李道宗之女。在吐蕃被尊称甲木萨汉公主，她嫁给松赞干布后对吐蕃贡献良多。,3
58,1,,1,请问与艾滋病患者进行何种接触会被传染艾滋病？,血液交换,握手,拥抱,,艾滋病通过性接触、血液和母婴三种途径传播，与艾滋病病毒感染者或病人的日常生活和工作接触不会被感染。,3
59,1,,1,我国夏季最热的地方是？,吐鲁番,重庆,海南,,吐鲁番地区位于新疆维吾尔自治区中东部，天山东部山间盆地，又称“火洲”，天气异常炎热。,3
60,1,,1,以下不是体育明星的是？,成龙,刘翔,李娜,,成龙是影视明星,3
61,1,,1,《大长今》曾经风靡于荧屏，请问它是哪个国家的电视剧？,韩国,新加坡,日本,,《大长今》，是韩国一部大型励志剧，共54集。讲述了一代奇女子徐长今是如何通过自己的努力成为朝鲜王朝历史上首位女性御医，被中宗赐“大长今”称号。该剧于2003年在韩国上映。香港无线电视（tvb）于2005年1月24日首播，大结局更创下50点收视。,3
62,1,,1,好莱坞位于美国加拉福尼亚州哪个市？,洛杉矶,圣地亚哥,纽约,,好莱坞（Hollywood），是全球最著名的影视娱乐和旅游热门地点，位于美国加利福尼亚州洛杉矶市市区西北郊。现“好莱坞”一词往往直接用来指美国加州南部的电影工业。好莱坞市位于加利福尼亚州西南部的美国第二大城市洛杉矶市的西北部，是世界著名的电影城市。,3
63,1,,1,淘宝卖家喜欢怎么称呼买家？,亲,你妹,大叔,,亲，游戏好玩的话记得给好评哦~~,3
64,1,,1,一边清汤卤，一边红汤卤，原名为双味火锅的我们通常称之为什么火锅？,鸳鸯,牛羊,双味,,两种锅底的一般我们成为鸳鸯锅,3
65,3,,1,通常我们把仅存一本的图书叫做什么？,孤本,真本,副本,,孤本是仅存一本的图书。也包括仅存一份的某书的某种碑刻的旧拓本和未刊刻的手稿等。,3
66,1,,1,“词”最盛行的是哪个朝代？,宋代,唐代,元代,,词，是诗歌的一种。因是合乐的歌词，故又称曲子词、乐府、乐章、长短句、诗余、琴趣等。始于唐，定型于五代，盛于宋。,3
67,1,,1,由姑苏山而得名的城市是：,苏州,南京,杭州,,我国的苏州以姑苏山而得名。,3
68,1,,1,刘翔最擅长的竞赛项目是什么？,110米栏,马拉松,800米跑,,刘翔最擅长的是110米跨栏,3
69,1,,1,泼水节是哪个少数民族的节日？,傣族,彝族,白族,,泼水节是傣族最隆重的节日，也是云南少数民族中影响面最大，参加人数最多的节日。泼水节是傣族的新年，相当于公历的四月中旬，一般持续3至7天。第一天傣语叫“麦日”，与农历的除夕相似；第二天傣语叫“恼日”；第三天是新年，叫“叭网玛”，意为岁首，人们把这一天视为最美好，最吉祥的日子。,3
70,1,,1,下列著名宫殿哪个位于英国?,白金汉宫,故宫,凡尔赛宫,,白金汉宫(BuckinghamPalace）英国的王宫。建造在威斯敏斯特城内，位于伦敦詹姆士公园（St.James’Park）的西边，1703年为白金汉公爵所建而得名，最早称白金汉屋，意思是“他人的家”。,3
71,1,,1,如果船舶在海洋上遇难，漂流到荒岛上的人首先要寻找？,淡水,钱,房子,,当人在有充足淡水的情况下才可以生存,3
72,1,,1,《西游记》中唐僧的原型是,玄奘,鉴真,惠能,,《西游记》里的唐僧只是作者虚构的艺术形象；在现实生活中，唐僧的原型——玄奘大师，是个学识渊博，品德高尚，誉满天下的高僧。玄奘为何被称为“唐僧”呢？《西游记》里说：“只因我大唐太宗皇帝赐我做御弟三藏，指唐为姓，故名唐僧。”,3
73,1,,1,下列古都哪个被称为“六朝古都”？,南京,洛阳,西安,,南京，江苏省会，依钟山，临长江。自公元前472年越王勾践在此筑城以来，历来为兵家必争之地，有“六朝古都”、“十朝都会”之称。三国的吴，魏晋的东晋，和五代时期的宋，齐，梁，陈，六朝均定都与此。因此称之为六朝古都。,3
74,1,,1,我国的京剧脸谱色彩含义丰富，红色一般表示忠勇侠义，那么黑色一般表示：,忠耿正直,大奸大恶,刚愎自用,,红色的脸谱表示忠勇侠义，如关羽、妾维、常遇春；黑色的脸谱表示刚烈、正直、勇猛甚至鲁莽，如包拯、张飞、李逵等；黄色的脸谱表示凶狠残暴，如宇文成都、典韦。蓝色或绿色的脸谱表示一些粗豪暴躁的人物，如窦尔敦、马武等；白色的脸谱一般表示奸臣、坏人，如曹操、赵高等。,3
75,1,,1,《论语·为政》中，孔子所说的“而立”之年指的是：,30岁,18岁,20岁,,“而立”的意思是自立于世，多指学有所成。今用“而立”或“而立之年”指人到了三十岁的年龄。语出自《论语·为政篇》：“子曰：吾十有五而志于学，三十而立，四十而不惑，五十而知天命，六十而耳顺，七十从心所欲不矩。”,3
76,1,,1,下列传统节日中，来源于二十四节气的是：,清明节,元宵节,中秋节,,中国传统的清明节大约始于周代，已有二千五百多年的历史。清明最开始是一个很重要的节气，清明一到，气温升高，正是春耕春种的大好时节，故有“清明前后，种瓜种豆”。“植树造林，莫过清明”的农谚。后来，由于清明与寒食的日子接近，而寒食是民间禁火扫墓的日子，渐渐的，寒食与清明就合二为一了，而寒食既成为清明的别称，也变成为清明时节的一个习俗，清明之日不动烟火，只吃凉的食品。,3
77,1,,1,我国汉族传统的四大节日是：,春节 清明 端午 中秋,春节 端午 重阳 七夕,春节 寒食节 重阳 冬至,,汉族的四大传统节日：春节：从小年开始，经过除夕、春节，直到正月十五元宵节结束；节日期间人们互相拜年、放爆竹、吃年糕、吃饺子、吃元宵、舞狮、扭秧歌等；清明节：阴历三月间，即阳历四月五日前后；主要节日活动有：扫墓、插柳、踏青、射柳、放风筝等；端午节：阴历五月初五；主要有赛龙舟、吃粽子、挂钟馗像、挂香袋、饮雄黄酒、插菖蒲、采药等活动；中秋节：阴历八月十五；主要有祭月、赏月、吃月饼、猜灯谜等活动。,3
78,1,,1,苏轼的名作《水调歌头·明月几时有》与下列哪个节日有关：,中秋,重阳,上巳,,词前小序说：“丙辰中秋，欢饮达旦，大醉，作此篇，兼怀子由。”丙辰，是北宋神宗熙宁九年（1076）。当时苏轼在密州（今山东诸城）做太守，中秋之夜他一边赏月一边饮酒，直到天亮，于是做了这首《水调歌头》。,3
79,1,,1,安徒生童话《海的女儿》里，小美人鱼变成人是为了见到谁？,王子,渔夫,王后,,《海的女儿》讲述了海公主小人鱼为了追求到一个人的高洁的不死的灵魂，放弃了海底自由自在的生活和300年长寿的生命，把美妙的歌喉丢弃在恶毒的巫婆手里，忍受住把鱼尾变成人腿后所带来的巨大痛苦，用她的爱、她的心和她年轻的生命，去追求她所爱的王子。,3
80,1,,1,二十四节气的“芒种”如何得名？,有芒作物成熟时期,芒果下种时期,有芒作物播种时期,,我国古代历法，根据太阳在黄道上的位置，将一年划分为二十四节气。“芒种”指麦子等有芒作物的成熟时期，每年的6月5日左右为芒种。,3
81,1,,1,为什么说“二月二龙抬头”？,龙王抬头、动物结束冬眠,传说中的龙开始活动,脱下厚厚的冬装,,每逢农历二月初二，是天上主管云雨的龙王抬头的日子；从此以后，雨水会逐渐增多起来。但选项A并不准确。民俗专家解释，传说中的龙是我们祖先在蛇、蚯蚓等的基础上想象出来的，因而民间又将蛇叫“小龙”。二月二前后，蛇、蚯蚓等结束冬眠、开始活动。这实际才是“龙抬头”的真正含义。,3
82,1,,1,《三国演义》是何种体裁？,章回体小说,纪传体史书,编年体史书,,章回体小说，是中国古典长篇小说的主要形式。其特点是分回标目，段落整齐，首尾完整。“章回”的“回”的意思是“次”。章回体小说往往会说“欲知后事如何，且听下回分解”。《三国演义》属这种体例。,3
83,1,,1,指南针最初的名字是什么？,司南,罗盘,指南鱼,,早在战国时我们祖先就了解并利用磁石的指极性制成最早的指南针--司南。战国时的《韩非子》中提到用磁石制成的司南。司南就是指南的意思。,3
84,1,,1,“岁寒三友”是指以下哪三种？,松树、翠竹、梅花,瓷器、衣料、家俱,桃、李、菊,,所谓“岁寒三友”，即将松树、翠竹、梅花。松、竹经冬不凋，梅则迎寒开放，因称“岁寒三友”。,3
85,1,,1,“花中四君子”是指：,梅、兰、竹、菊,百合、竹、梅、水仙,桃、李、杏、菊,,四君子者，梅兰竹菊也。梅，剪雪裁冰，一身傲骨；兰，空谷幽香，孤芳自赏；竹，筛风弄月，潇洒一生；菊，凌霜自行，不趋炎势。,3
86,1,,1,“六亲不认”的“六亲”是指哪些人？,父、母、兄、弟、妻、子,父、母、夫、妻、子、女,父、母、兄、弟、姊、妹,,六亲：父、母、兄、弟、妻、子。《汉书·贾谊传》：“建久安之势，成长治之业，以承祖庙，以奉六亲，至孝也。”唐颜师古注引应劭曰：“六亲，父母、兄弟、妻子也。”,3
87,1,,1,“腰子”是对哪个器官的俗称？,肾,腰,肝,,俗称的腰子是指肾脏，在通俗的称为中，因为肾脏所在的后面是腰部，就有腰为肾之府的说法，所以习惯将肾脏叫做腰子，所说的吃腰子具有补肾的功效。,3
88,1,,1,￡是一种货币符号，请问它代表以下哪一种货币？,英镑,法国法郎,瑞士法郎,,￡是英镑的货币符号，代表了英国以及一些其他国家的同名货币。英镑主要由英格兰银行发行，但亦有其他发行机构。英镑曾是国际结算业务中的计价结算使用最广泛的货币。货币符号是根据不同国家货币名称的拉丁语编成的。,3
89,1,,1,这是一本美国著名商业杂志，杂志的座右铭是“资本家工具”。这本杂志是？,福布斯,商业周刊,世界经理人,,福布斯还报道技术、通信、科学和法律等领域的内容。福布斯杂志总部设于纽约市。该杂志因其提供的列表和排名而为人熟知，包括最富有美国人列表（福布斯400）和世界顶级公司排名（福布斯全球2000）。福布斯杂志的座右铭是“资本家工具”（，总编辑是史蒂夫·福布斯，行政总裁是麦克·佩里斯。,3
